PMCID,sentence_id,top_section,CONSORT_Item,sentence_text,labels,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
PMC4797126,S185,Back matter,['3a'],study design.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,,,,,,,,,,,,
PMC4621368,S8,Methods and results,['3a'],in a randomised double-blind placebo-controlled parallel group clinical trial  87 patients undergoing cabg surgery were randomised 1:1 to intravenous elafin 200 mg or saline placebo administered after induction of anaesthesia and prior to sternotomy.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,,,,,,,,,,,,
PMC4085478,S9,METHODS:,['3a'],this is a double-blinded  randomized  placebo-controlled  superiority study conducted in 24 ambulatory referral centers in germany  lithuania  and romania.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,,,,,,,,,,,,
PMC5009486,S103,Patient disposition and baseline characteristics,['3a'],patients were randomized into 1 of 120 treatment sequences.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,,,,,,,,,,,,
PMC5009486,S104,Patient disposition and baseline characteristics,['3a'],each sequence included four out of the eight possible treatments administered for 14-day periods separated by 7- to 21-day washout periods.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,,,,,,,,,,,,
PMC4145444,S7,Design,['3a'],randomised controlled trial.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,,,,,,,,,,,,
PMC4515982,S2,Title,['3a'],erythropoietin in amyotrophic lateral sclerosis: a multicentre  randomised  double blind  placebo controlled  phase iii study,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",,,,,,,,,,,,,,
PMC3103669,S79,Baseline demographics and disease characteristics,['4b'],patients were recruited from the following countries (number of centres): argentina (1)  belgium (2)  columbia (5)  czech republic (5)  germany (5)  guatemala (5)  hungary (4)  poland (2)  portugal (3)  russia (7)  singapore (1)  slovakia (6)  south africa (4)  spain (4)  taiwan (4)  turkey (8)  uk (2) and usa (20).,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",,,,,,,,,,,,,,
PMC3386495,S124,Results,['4b'],between may  2000  and july  2011  3035 patients were enrolled in 156 centres in 12 countries.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",,,,,,,,,,,,,,
PMC3386495,S125,Results,['4b'],baseline characteristics were well balanced between treatment groups (figure 1  table 1).,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",,,,,,,,,,,,,,
